"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"X67","addict","0.000219208110700096","0","0","1.31144101138331e-05","5.55203926402168e-05","0","6.53794185590376e-05","0","9.79743796997085e-05","0"
"X68","adentro","0","0","7.34295260124096e-05","0","0","0","0","0","0","0"
"X69","adesso","0","0","0","0","0","0","0","0","0","0"
"X70","adio","0","0","0.000110144289018614","0","0","0","0","0","0","0"
"X71","adió","0","0","0.000514006682086867","0","0","0","0","0","0","0"
"X72","admir","0.000164406083025072","0","0","6.55720505691654e-06","5.55203926402168e-05","1.75598791880312e-05","2.17931395196792e-05","7.27325623681722e-05","1.22467974624636e-05","0"
"X73","admit","2.7401013837512e-05","0","0","5.24576404553323e-05","3.33122355841301e-05","0.000210718550256374","0.000108965697598396","0","7.34807847747814e-05","0"
"X74","ador","2.7401013837512e-05","0","0.000367147630062048","5.24576404553323e-05","1.11040785280434e-05","1.75598791880312e-05","0","0","2.44935949249271e-05","7.74873437338568e-05"
"X75","advanc","2.7401013837512e-05","0","0","0","2.22081570560867e-05","0","0.000174345116157434","0","0","0"
"X76","adventur","0","0","0","7.21292556260819e-05","0","0","0","0","0","2.58291145779523e-05"
"X77","advic","0","0","0","1.31144101138331e-05","5.55203926402168e-05","0","2.17931395196792e-05","0","2.44935949249271e-05","2.58291145779523e-05"
"X78","afar","0","0","0","0","1.11040785280434e-05","0","0","0","1.22467974624636e-05","0.000103316458311809"
"X79","affair","0","0","0","1.96716151707496e-05","0","7.02395167521247e-05","0","7.27325623681722e-05","4.89871898498543e-05","0"
"X80","affect","0","0","0","4.59004353984158e-05","5.55203926402168e-05","0","0.000130758837118075","0","0.000122467974624636","0"
"X81","afford","8.2203041512536e-05","0","0","1.31144101138331e-05","1.11040785280434e-05","1.75598791880312e-05","0","0","0","5.16582291559045e-05"
"X82","afraid","0.00013700506918756","0","0","0.000524576404553323","0.000122144863808477","7.02395167521247e-05","6.53794185590376e-05","0","0.000183701961936953","7.74873437338568e-05"
"X83","africa","0","0","0","0","1.11040785280434e-05","0","4.35862790393584e-05","0","0","2.58291145779523e-05"
"X84","after","0.000219208110700096","0","0","0.000465561559041074","0.000444163141121734","0.000193158671068343","0.000239724534716471","0","0.000416391113723761","0.000206632916623618"
"X85","afternoon","2.7401013837512e-05","0","0","0","1.11040785280434e-05","0.000140479033504249","2.17931395196792e-05","0","6.12339873123178e-05","7.74873437338568e-05"
"X86","again","0.00123304562268804","0","0","0.00156061480354614","0.000655140633154558","0.00200182622743556","0.00106786383646428","0","0.00183701961936953","0.00139477218720942"
"X87","against","5.4802027675024e-05","0.000118021952083087","0","9.83580758537481e-05","0.000122144863808477","8.77993959401559e-05","0.000849932441267489","0","0.000257182746711735","0.000258291145779523"
"X88","age","0.000109604055350048","0","0","3.27860252845827e-05","0.000122144863808477","0.000122919154316218","4.35862790393584e-05","0","0.000134714772087099","0.000284120260357475"
"X89","ago","5.4802027675024e-05","0.000236043904166175","7.34295260124096e-05","0.000131144101138331","5.55203926402168e-05","1.75598791880312e-05","4.35862790393584e-05","0","0.000159208367012026","0.000154974687467714"
"X90","agoni","0","0","0","0","0","0","0","0","1.22467974624636e-05","2.58291145779523e-05"
"X91","agora","0","0","0.000257003341043434","0","0","0","0","0","0","0"
"X92","agre","0","0","0","1.96716151707496e-05","1.11040785280434e-05","3.51197583760624e-05","2.17931395196792e-05","0","3.67403923873907e-05","0"
"X93","agua","0","0","0.000367147630062048","0","0","0","0","0","0","0"
"X94","ah","0.00054802027675024","0.000118021952083087","0.000330432867055843","0.000347531868016577","0.000277601963201084","0.000684835288333216","0.000958898138865885","0.00145465124736344","8.5727582237245e-05","0.00206632916623618"
"X95","aha","2.7401013837512e-05","0","0","6.55720505691654e-06","0","0.000122919154316218","0","0","0","0"
"X96","ahead","5.4802027675024e-05","0","0","9.18008707968316e-05","9.99367067523902e-05","3.51197583760624e-05","0","0","0.000122467974624636","0.000258291145779523"
"X97","ahh","0.000575421290587752","0.000708131712498525","0.000257003341043434","4.59004353984158e-05","0.000111040785280434","3.51197583760624e-05","0","0.000145465124736344","2.44935949249271e-05","0"
"X98","ahhh","0","0","0.000146859052024819","0","1.11040785280434e-05","0","0","0","1.22467974624636e-05","0"
"X99","ahi","0","0","0.000881154312148915","0","0","0","0","0","0","0"
"X100","ahí","0","0","0.000293718104049638","0","0","0","0","0","0","0"
"X101","ahora","0","0","0.00245988912141572","2.62288202276662e-05","0","0","0","0","0","0"
"X102","ai","0.000219208110700096","0.000118021952083087","0.000110144289018614","0.000662277710748571","0.00121034455955673","0.001123832268034","0.000849932441267489","0.000872790748418067","0.000110221177162172","0.000180803802045666"
"X103","aid","0","0.000118021952083087","0","6.55720505691654e-06","5.55203926402168e-05","0","2.17931395196792e-05","0","1.22467974624636e-05","0"
"X104","aim","0","0","0","6.55720505691654e-06","0.000111040785280434","1.75598791880312e-05","0","0.000727325623681722","6.12339873123178e-05","2.58291145779523e-05"
"X105","ain","2.7401013837512e-05","0","0","0","0","0.000140479033504249","0.000326897092795188","0","0","2.58291145779523e-05"
"X106","aina","0","0","0","0","0","0","0","0","0","0"
"X107","ainda","0","0","0.000183573815031024","0","0","0","0","0","0","0"
"X108","aint","0.00027401013837512","0","0","0.000144258511252164","0.000433059062593691","1.75598791880312e-05","6.53794185590376e-05","0","1.22467974624636e-05","2.58291145779523e-05"
"X109","air","0.00027401013837512","0","0.000550721445093072","0.000104915280910665","0.000277601963201084","5.26796375640936e-05","0.00026151767423615","0.000290930249472689","0.000465378303573615","0.00023246203120157"
"X110","al","0","0.00413076832290806","0.00466277490178801","6.55720505691654e-06","4.44163141121734e-05","0","4.35862790393584e-05","0","0","0"
"X111","ala","0","0","0.000477291919080662","6.55720505691654e-06","0","0","0","7.27325623681722e-05","1.22467974624636e-05","0"
"X112","alarm","0","0","0","6.55720505691654e-06","3.33122355841301e-05","5.26796375640936e-05","2.17931395196792e-05","7.27325623681722e-05","7.34807847747814e-05","2.58291145779523e-05"
"X113","album","2.7401013837512e-05","0.000354065856249262","0","1.31144101138331e-05","0.000122144863808477","1.75598791880312e-05","0.000239724534716471","0","2.44935949249271e-05","0.000103316458311809"
"X114","alcohol","0","0","0","1.31144101138331e-05","4.44163141121734e-05","1.75598791880312e-05","0","0","6.12339873123178e-05","0.000464924062403141"
"X115","aldrig","0","0","0","0","0","0","0","7.27325623681722e-05","4.89871898498543e-05","0"
"X116","alegr","0","0","0.000183573815031024","0","0","0","0","0","0","0"
"X117","alegria","0","0","0.000110144289018614","1.31144101138331e-05","0","0","0","0","0","0"
"X118","alegría","0","0","0.000146859052024819","0","0","0","0","0","0","0"
"X119","algo","0","0","0.00139516099423578","0","0","0","0","0","0","0"
"X120","alguém","0","0","0.000183573815031024","0","0","0","0","0","0","0"
"X121","alguien","0","0","0.000991298601167529","0","0","0","0","0","0","0"
"X122","algún","0","0","0.000293718104049638","0","0","0","0","0","0","0"
"X123","alguna","0","0","0.000367147630062048","0","0","0","0","0","0","0"
"X124","ali","0","0","0","0","0","0","0","0","0","0"
"X125","alibi","0","0","0","1.96716151707496e-05","0","3.51197583760624e-05","0.000174345116157434","0","1.22467974624636e-05","0"
"X126","alien","0","0","0","0","1.11040785280434e-05","0","0","0","4.89871898498543e-05","0.000258291145779523"
"X127","aliv","0.000164406083025072","0","0","0.000255730997219745","4.44163141121734e-05","0.000614595771581092","0","0","0.000330663531486516","0.000129145572889761"
"X128","all","0.00715166461159063","0.00601911955623746","0.000293718104049638","0.00937680323139065","0.00586295346280689","0.00827070309756269","0.00653794185590376","0.000727325623681722","0.00742155926225292","0.00888521541481558"
"X129","alla","2.7401013837512e-05","0.00247846099374484","0.000367147630062048","0","0","0","0","0","2.44935949249271e-05","0"
"X130","allá","0","0","3.67147630062048e-05","0","0","0","0","0","0","0"
"X131","allah","0","0","0","6.55720505691654e-06","1.11040785280434e-05","0","0","0","1.22467974624636e-05","2.58291145779523e-05"
"X132","alleen","0","0","0","0","0","0","0","0","0","0"
"X133","allein","0","0.0009441756166647","0","0","0","0","0","0","0","0"
"X134","alleluia","0","0","0","0","0","0","0","0","0","5.16582291559045e-05"
"X135","allen","0","0.000118021952083087","0","0","1.11040785280434e-05","0","0","0","0","0"
"X136","aller","0","0.000118021952083087","0","0","0","0","0","0.000290930249472689","0","0"
"X137","alley","0","0","0","0","2.22081570560867e-05","8.77993959401559e-05","0.000196138255677113","0","6.12339873123178e-05","2.58291145779523e-05"
"X138","allí","0","0","0.000440577156074458","0","0","0","0","0","0","0"
"X139","allow","0.000109604055350048","0","0","1.96716151707496e-05","4.44163141121734e-05","5.26796375640936e-05","2.17931395196792e-05","0","7.34807847747814e-05","0"
"X140","allt","0","0","0","0","0","0","0","7.27325623681722e-05","9.79743796997085e-05","0"
"X141","alltid","0","0","0","0","0","0","0","0","1.22467974624636e-05","0"
"X142","alma","0","0","0.00220288578037229","0","0","0","0","0","0","2.58291145779523e-05"
"X143","almighti","0","0","0","0","1.11040785280434e-05","0","0","0","1.22467974624636e-05","0.000154974687467714"
"X144","almost","0.000109604055350048","0","0","0.000118029691024498","4.44163141121734e-05","5.26796375640936e-05","6.53794185590376e-05","0","3.67403923873907e-05","2.58291145779523e-05"
"X145","alon","0.000328812166050144","0.000118021952083087","3.67147630062048e-05","0.00134422703666789","0.000322018277313257","0.000333637704572593","0.000435862790393584","7.27325623681722e-05","0.000734807847747814","0.00056824052071495"
"X146","along","0.00095903548431292","0","0","0.000268845407333578","6.66244711682601e-05","0.000122919154316218","0.000196138255677113","0.000436395374209033","0.000257182746711735","0.00080070255191652"
"X147","alor","0","0","0","0","0","0","0","0.00189104662157248","0","0"
"X148","alreadi","2.7401013837512e-05","0","0","9.83580758537481e-05","9.99367067523902e-05","0.000316077825384561","0.000152551976637754","0","0.000244935949249271","2.58291145779523e-05"
"X149","alright","0.000794629401287848","0","0","0.000157372921365997","6.66244711682601e-05","0.00161550888529887","0.000305103953275509","0","8.5727582237245e-05","0.00080070255191652"
"X150","also","2.7401013837512e-05","0.000590109760415437","0","1.31144101138331e-05","2.22081570560867e-05","0","2.17931395196792e-05","0","2.44935949249271e-05","0"
"X151","alt","0","0.000590109760415437","0","0","0","0","0","7.27325623681722e-05","0","0"
"X152","altar","0","0","0","2.62288202276662e-05","0","0","0","0","3.67403923873907e-05","2.58291145779523e-05"
"X153","alter","0","0","0","6.55720505691654e-06","1.11040785280434e-05","0","0","7.27325623681722e-05","7.34807847747814e-05","0"
"X154","although","0","0","0","0.000111472485967581","6.66244711682601e-05","0","2.17931395196792e-05","0","7.34807847747814e-05","2.58291145779523e-05"
"X155","alto","0","0","0.000146859052024819","0","0","0","0","0","0","5.16582291559045e-05"
"X156","altro","0","0","0","0","0","0","0","0","0","0"
"X157","alway","0.000301411152212632","0","3.67147630062048e-05","0.00200650474741646","0.000577412083458254","0.000719955046709279","0.001155036394543","7.27325623681722e-05","0.00068582065789796","0.00100733546854014"
"X158","am","0.0105219893136046","0.0028325268499941","0.000110144289018614","0.00916041546451241","0.0105710827586973","0.0106588466671349","0.0072353223205335","0.000509127936577206","0.00755627403434002","0.00653476598822192"
"X159","ama","0","0","0.000697580497117891","0","0","0","0","0","0","0"
"X160","amanec","0","0","0.000183573815031024","0","0","0","0","0","0","0"
"X161","amant","0","0","7.34295260124096e-05","0","0","0","0","0","0","0"
"X162","amar","0","0","0.000954583838161325","5.24576404553323e-05","0","0","0","0","0","0"
"X163","amart","0","0","0.000771010023130301","0","0","0","0","0","0","0"
"X164","amaz","0","0","0","0.000137701306195247","2.22081570560867e-05","5.26796375640936e-05","6.53794185590376e-05","0","3.67403923873907e-05","0.000103316458311809"
"X165","ambit","5.4802027675024e-05","0","0","6.55720505691654e-06","3.33122355841301e-05","1.75598791880312e-05","2.17931395196792e-05","0","3.67403923873907e-05","0"
"X166","amen","0","0","0","1.31144101138331e-05","0","1.75598791880312e-05","0","0","3.67403923873907e-05","0"
"X167","america","0","0","0","0","9.99367067523902e-05","0.000351197583760624","6.53794185590376e-05","0","1.22467974624636e-05","0"
"X168","american","0","0","0","1.31144101138331e-05","3.33122355841301e-05","8.77993959401559e-05","6.53794185590376e-05","0","0.000318416734024053","0.000542411406136998"
"X169","ami","0","0.000118021952083087","3.67147630062048e-05","4.59004353984158e-05","0","0.000193158671068343","0","0.00065459306131355","0","0"
"X170","amiga","0","0","7.34295260124096e-05","0","0","0","0","0","0","0"
"X171","amigo","2.7401013837512e-05","0","0.000587436208099277","0","0","0","0","0","0","0"
"X172","amo","0","0","0.00146859052024819","0","0","0","0","0","0","0"
"X173","among","0","0","0","1.31144101138331e-05","1.11040785280434e-05","0","4.35862790393584e-05","0","0.000122467974624636","5.16582291559045e-05"
"X174","amongst","5.4802027675024e-05","0","0","0","1.11040785280434e-05","0","0","0","1.22467974624636e-05","5.16582291559045e-05"
"X175","amor","0","0.000118021952083087","0.0100965598267063","1.96716151707496e-05","0","0","0","0","3.67403923873907e-05","2.58291145779523e-05"
"X176","amour","0","0","0","6.55720505691654e-06","0","0","0","0.00109098843552258","0","0"
"X177","amus","0","0","0","1.96716151707496e-05","2.22081570560867e-05","1.75598791880312e-05","0","0","0","0"
"X178","an","0.000794629401287848","0.0075534049333176","7.34295260124096e-05","0.000767192991659235","0.000954950753411728","0.00136967057666643","0.00135117465022011","0.000872790748418067","0.00142062850564577","0.00191135447876847"
"X179","ana","0","0","0","0","0","0","0","0","0","0"
"X180","anch","0","0.00047208780833235","0","0","0","0","0","0","0","0"
"X181","anchor","0","0","0","2.62288202276662e-05","1.11040785280434e-05","0","0","0","1.22467974624636e-05","0"
"X182","ancient","5.4802027675024e-05","0","0","0","0","0","0","0","7.34807847747814e-05","0.000129145572889761"
"X183","ancora","0","0.000118021952083087","0","0","0","0","0","0","0","0"
"X184","and","0.022962049595835","0.00129824147291396","0.000330432867055843","0.0213764884855479","0.0231631078094984","0.0212474538175177","0.0232968661465371","0.00203651174630882","0.0252896367599873","0.0249767537968798"
"X185","anda","0","0","7.34295260124096e-05","0","0","0","0","0","0","0"
"X186","andar","0","0","0.000440577156074458","0","0","0","0","0","0","0"
"X187","ander","0","0.00153428537708014","0","0","0","0","0","0","0","0"
"X188","ando","0","0","0.000146859052024819","0","0","0","0","0","0","0"
"X189","ang","0","0","0","6.55720505691654e-06","0","0","0","0","0","0"
"X190","angel","0.000246609124537608","0","3.67147630062048e-05","0.000288517022504328","4.44163141121734e-05","0.000456556858888811","0.000196138255677113","0","0.000379650721336371","0.000516582291559045"
"X191","anger","2.7401013837512e-05","0","0","2.62288202276662e-05","0","3.51197583760624e-05","4.35862790393584e-05","0","9.79743796997085e-05","2.58291145779523e-05"
"X192","angri","8.2203041512536e-05","0","0","4.59004353984158e-05","2.22081570560867e-05","3.51197583760624e-05","0","0","2.44935949249271e-05","2.58291145779523e-05"
"X193","angst","0","0.000354065856249262","0","0","0","0","0","0","0","0"
"X194","anguish","0","0","0","0","0","0","0","0","3.67403923873907e-05","0"
"X195","ani","0.000575421290587752","0","0","0.00034097466295966","0.000477475376705864","0.000280958067008499","0.00028331081375583","0","0.000306169936561589","0.00023246203120157"
"X196","anim","0.00013700506918756","0.000118021952083087","0","0","6.66244711682601e-05","1.75598791880312e-05","2.17931395196792e-05","0","7.34807847747814e-05","2.58291145779523e-05"
"X197","ann","0","0","0","0.000118029691024498","0","0","0","7.27325623681722e-05","1.22467974624636e-05","0"
"X198","anna","0","0","0","0","1.11040785280434e-05","0","0","7.27325623681722e-05","1.22467974624636e-05","0"
"X199","anni","0","0.000118021952083087","0","0","7.77285496963034e-05","0","2.17931395196792e-05","0","0","0"
"X200","annihil","0","0","0","0","0","0","0","0","2.44935949249271e-05","0"
"X201","ano","0","0.000118021952083087","0.000220288578037229","0","0","0","0","0","0","0"
"X202","año","0","0","0.000146859052024819","0","0","0","0","0","0","0"
"X203","anoth","0.000904233456637896","0","0","0.00119996852541573","0.000433059062593691","0.00043899697970078","0.000958898138865885","7.27325623681722e-05","0.000747054645210277","0.000774873437338568"
"X204","answer","8.2203041512536e-05","0","0","0.00036064627813041","0.00013324894233652","0.000122919154316218","0.000196138255677113","0","0.000477625101036079","0.000154974687467714"
"X205","ant","0","0.000118021952083087","0.000881154312148915","0","1.11040785280434e-05","0","0","0","0","0.000645727864448807"
"X206","anticip","2.7401013837512e-05","0","0","1.96716151707496e-05","2.22081570560867e-05","0","0","0","1.22467974624636e-05","0"
"X207","anybodi","2.7401013837512e-05","0","0","5.90148455122489e-05","5.55203926402168e-05","0.000316077825384561","4.35862790393584e-05","0","2.44935949249271e-05","0"
"X208","anyhow","0","0","0","3.27860252845827e-05","0","0","0","0","0","0"
"X209","anymor","0.000109604055350048","0","0","0.000465561559041074","3.33122355841301e-05","0.00043899697970078","0.000108965697598396","7.27325623681722e-05","0.000502118695961006","7.74873437338568e-05"
"X210","anyon","0.000109604055350048","0","0","9.18008707968316e-05","0.000111040785280434","5.26796375640936e-05","0.000174345116157434","0","0.000110221177162172","0.000413265833247236"
"X211","anyth","0.000219208110700096","0","0","0.000439332738813408","0.00016656117792065","0.00108871250965793","8.71725580787168e-05","0","0.000293923139099126","0.000258291145779523"
"X212","anytim","2.7401013837512e-05","0","0","3.27860252845827e-05","0","5.26796375640936e-05","2.17931395196792e-05","0","6.12339873123178e-05","0"
"X213","anyway","0","0","0","8.5243665739915e-05","8.88326282243468e-05","0.000228278429444405","6.53794185590376e-05","0","0.000306169936561589","0"
"X214","anywher","8.2203041512536e-05","0","0","0.000118029691024498","0","3.51197583760624e-05","4.35862790393584e-05","0","8.5727582237245e-05","0.000309949374935427"
"X215","ao","0","0","0.000367147630062048","0","0","0","0","0","0","0"
"X216","apart","0.000219208110700096","0.000118021952083087","0.000293718104049638","0.000472118764097991","0.000122144863808477","0.000175598791880312","2.17931395196792e-05","0","0.000281676341636662","5.16582291559045e-05"
"X217","apathi","0","0","0","1.31144101138331e-05","2.22081570560867e-05","3.51197583760624e-05","0","0","3.67403923873907e-05","0"
"X218","apolog","0","0","0","9.18008707968316e-05","2.22081570560867e-05","0","2.17931395196792e-05","0","1.22467974624636e-05","0"
"X219","appeal","0","0","0","1.96716151707496e-05","5.55203926402168e-05","0","2.17931395196792e-05","0","2.44935949249271e-05","0"
"X220","appear","2.7401013837512e-05","0","0","2.62288202276662e-05","3.33122355841301e-05","3.51197583760624e-05","0","0","0.000146961569549563","2.58291145779523e-05"
"X221","appl","5.4802027675024e-05","0","0","6.55720505691654e-06","7.77285496963034e-05","0","6.53794185590376e-05","0","2.44935949249271e-05","0"
"X222","appreci","0","0","0","4.59004353984158e-05","2.22081570560867e-05","1.75598791880312e-05","2.17931395196792e-05","0","0","2.58291145779523e-05"
"X223","approach","0","0","0","1.31144101138331e-05","1.11040785280434e-05","1.75598791880312e-05","0","0","1.22467974624636e-05","0"
"X224","aprè","0","0","0","0","0","0","0","0","0","0"
"X225","aprend","0","0","3.67147630062048e-05","0","0","0","0","0","0","0"
"X226","april","2.7401013837512e-05","0.000118021952083087","0","0","0","1.75598791880312e-05","0","0","7.34807847747814e-05","0"
"X227","aqu","0","0","0","0","0","0","0","0","0","0"
"X228","aquel","0","0","0.000367147630062048","1.96716151707496e-05","0","0","0","0","0","0"
"X229","aquella","0","0","0.000367147630062048","0","0","0","0","0","0","0"
"X230","aquello","0","0","7.34295260124096e-05","0","0","0","0","0","0","0"
"X231","aqui","0","0","0.00102801336417373","0","0","0","0","0","0","2.58291145779523e-05"
"X232","aquí","0","0","0.00176230862429783","0","0","0","0","0","0","0"
"X233","ar","0","0","0","0","0","0","0","0","6.12339873123178e-05","0"
"X234","är","0","0","0","0","0","0","0","0.000290930249472689","0.00017145516447449","0"
"X235","are","0.00676805041786546","0.000236043904166175","7.34295260124096e-05","0.0087604259560405","0.00424175799771256","0.00886773898995575","0.00791090964564355","0.000509127936577206","0.00973620398265853","0.00805868374832111"
"X236","arena","0","0","0","0","2.22081570560867e-05","0","0","0","0","0"
"X237","argu","0","0","0","0","0","0","2.17931395196792e-05","0","0","0"
"X238","aris","0","0","0","6.55720505691654e-06","0","1.75598791880312e-05","0","0","0.000232689151786808","5.16582291559045e-05"
"X239","arm","0.000109604055350048","0.00047208780833235","0","0.00053113360961024","0.00013324894233652","0.000158038912692281","0.000958898138865885","0","0.000355157126411443","0.000387436718669284"
"X240","armi","5.4802027675024e-05","0","0","6.55720505691654e-06","0.000177665256448694","3.51197583760624e-05","0","0","0.000122467974624636","7.74873437338568e-05"
"X241","around","0.0038909439649267","0","0","0.00125242616587106","0.0012547608736689","0.00140479033504249","0.00126400209214139","7.27325623681722e-05","0.000661327062973033","0.00154974687467714"
"X242","arrang","0","0","0","6.55720505691654e-06","2.22081570560867e-05","1.75598791880312e-05","4.35862790393584e-05","7.27325623681722e-05","0","2.58291145779523e-05"
"X243","arriba","0","0","0.000954583838161325","0","0","0","0","0","0","0"
"X244","arriv","0","0","0","0.000163930126422913","1.11040785280434e-05","3.51197583760624e-05","2.17931395196792e-05","0.000363662811840861","8.5727582237245e-05","0.000103316458311809"
"X245","arrow","2.7401013837512e-05","0","0","0","2.22081570560867e-05","5.26796375640936e-05","0","0","2.44935949249271e-05","5.16582291559045e-05"
"X246","art","0","0.000236043904166175","7.34295260124096e-05","1.31144101138331e-05","0.000177665256448694","1.75598791880312e-05","2.17931395196792e-05","0.000145465124736344","2.44935949249271e-05","0.000129145572889761"
"X247","artist","5.4802027675024e-05","0.000118021952083087","0","6.55720505691654e-06","6.66244711682601e-05","1.75598791880312e-05","0.000152551976637754","0","1.22467974624636e-05","2.58291145779523e-05"
"X248","as","0.00123304562268804","0.000118021952083087","0.000220288578037229","0.00217699207889629","0.0018432770356552","0.00149258973098265","0.00150372662685787","0.000800058186049895","0.00374752002351385","0.00330612666597789"
"X249","ascend","0","0","0","6.55720505691654e-06","0","3.51197583760624e-05","2.17931395196792e-05","0","7.34807847747814e-05","0"
"X250","ash","0","0","0","0","2.22081570560867e-05","0","2.17931395196792e-05","0","0.000404144316261298","0.000129145572889761"
"X251","asham","0","0","0","6.55720505691654e-05","1.11040785280434e-05","0","0","0","2.44935949249271e-05","0.000103316458311809"
"X252","asi","0","0","0.000954583838161325","0","0","0","0","0","0","0"
"X253","así","0","0","0.00091786907515512","0","0","0","0","0","0","0"
"X254","asid","5.4802027675024e-05","0","0","1.96716151707496e-05","5.55203926402168e-05","1.75598791880312e-05","6.53794185590376e-05","0","7.34807847747814e-05","5.16582291559045e-05"
"X255","ask","0.000383614193725168","0","0","0.000478675969154907","0.000421954984065647","0.000421437100512748","0.00117682953406268","7.27325623681722e-05","0.000318416734024053","0.000439094947825189"
"X256","askin","0","0","0","6.55720505691654e-06","8.88326282243468e-05","0","0","0","0","0"
"X257","asleep","0","0","0","7.86864606829985e-05","7.77285496963034e-05","7.02395167521247e-05","2.17931395196792e-05","0","0.000110221177162172","0.000129145572889761"
"X258","ass","0.000520619262912728","0","0","7.86864606829985e-05","0.00124365679514086","8.77993959401559e-05","0.000108965697598396","0","4.89871898498543e-05","2.58291145779523e-05"
"X259","assassin","0","0","0","0","5.55203926402168e-05","0","0","0","1.22467974624636e-05","0"
"X260","asshol","0","0","0","0","4.44163141121734e-05","1.75598791880312e-05","2.17931395196792e-05","0","0","0"
